word,prob
  ,0.0
 a,0.017265268161534456
 b,0.007632234080890729
 c,0.01088781347467726
 d,0.006170691104841534
 e,0.004778240067347854
 f,0.007596889319613531
 g,0.0035589303326227033
 h,0.005573315506135741
 i,0.009985243290455142
 j,0.0015643428596379808
 k,0.0011022821341176313
 l,0.004869441228352273
 m,0.0076151902717043
 n,0.004625982758211613
 o,0.009475152269678202
 p,0.009603869927833335
 q,0.0004979190626677607
 r,0.006098912600249844
 s,0.013013413008120657
 t,0.019057682538115295
 u,0.002646836277781662
 v,0.0019195850244264506
 w,0.007042716313933777
 x,0.0002794730660013536
 y,0.002131126882527459
 z,0.00022128169990012883
a ,0.005442152759786519
aa,6.597939261295383e-05
ab,0.0016081589963443102
ac,0.0034088412085746494
ad,0.002565807092240933
ae,0.00011242446672758965
af,0.0004953780560758183
ag,0.0020049497961054322
ah,0.00020111370415069028
ai,0.0022556169273527343
aj,6.959218802500132e-05
ak,0.0007036422342431608
al,0.0072899689948396195
am,0.0024409531666432834
an,0.011685407118902598
ao,4.755057320295417e-05
ap,0.0015181094881763998
aq,8.845963364312494e-05
ar,0.007820234955342465
as,0.004565422283699418
at,0.009136815082302645
au,0.0009792597828109347
av,0.0013398629777863107
aw,0.0003657846315530438
ax,0.00020922824250929265
ay,0.0018470489086580945
az,0.00018975580571557168
b ,0.0007556836817309323
ba,0.0015747433441498095
bb,0.0001209986182896572
bc,6.291596099821639e-05
bd,2.533847012015412e-05
be,0.0029861084231724696
bf,5.9863403382631166e-06
bg,7.787581258980162e-06
bh,1.5055915785134221e-05
bi,0.0010077242216287598
bj,0.00014687249262046527
bk,4.074854556007616e-06
bl,0.0016250129635235302
bm,0.00010366615666217072
bn,3.4041618847860145e-05
bo,0.0016547267228431421
bp,2.0997705004186065e-05
bq,2.220064477720135e-06
br,0.0008942475350096072
bs,0.0004417406884579564
bt,7.081794384108524e-05
bu,0.0013266312307697533
bv,1.3503390240774148e-05
bw,1.3209567530415507e-05
bx,3.2685403133605647e-06
by,0.0010674769865857507
bz,4.490933839128198e-06
c ,0.0017683345331662983
ca,0.00408374294336285
cb,2.0552500853874283e-05
cc,0.0005965953037977571
cd,0.00011519275841421483
ce,0.004345176552386892
cf,1.8005107062088868e-05
cg,1.8585488261460278e-05
ch,0.00396759294463178
ci,0.001718401379636867
cj,3.845477194779938e-06
ck,0.0016385833753992144
cl,0.0013501316624279739
